title,price,location,area,bedrooms,bathrooms
"A 130-meter chalet, a great deal, directly on the swimming pool in Marassi, is for sale for only 22.5 million in Marina Residence 2",22500000,"Marassi, Sidi Abdel Rahman, North Coast, Matruh",130 Sq. M.,2,2
"Grave for sale in the cemeteries on the Fayoum road, a very special and organized location",670000,"Dokki, Giza",22 Sq. M.,1,1
200m² penthouse for sale in Cecilia Lagoons (North Coast) – Ultra-super-lux finishing – Garage included.,8500000,"Cecilia Lagoons, North Coast, Matruh",200 Sq. M.,3,3
Own a 250 sqm Double-View Villa for the Price of an Apartment in The MarQ – Fifth Settlement,14650000,"The MarQ Compound, 5th Settlement, New Cairo, Cairo",250 Sq. M.,4,3
Semi Finished Ready-to-Move Apartment | Bahary | 170 sqm | Open Al Rehab View | Immediate Delivery | Prime Location | Fully Service Community,14394000,"New Cairo, Cairo",170 Sq. M.,3,3
"10-year installment plan for a villa at the price of an apartment in GreenVille Compound, New Zayed",7500000,"Green Ville Compound, Sheikh Zayed, Giza",235 Sq. M.,4,3
LAST VILLA WITH LOWEST PRICE BY ORASCOM 0%DP PANORAMIC SEA VIEW FULLY FINISHED,19000000,"Mangroovy, Gouna, Red Sea",246 Sq. M.,4,4
"finished apartment delivery one year prime location, installments available near American University on South 90th Street",12000000,"90 Avenue Compound, 5th Settlement, New Cairo, Cairo",125 Sq. M.,2,2
Town House Villa for Sale in the New Administrative Capital | Direct View of the Green River | Ready to move | Discount Available | Limited Units,20005000,"New Capital City, Cairo",224 Sq. M.,3,4
"For sale: Luxurious, fully finished, super deluxe apartment in Al Shorouk City, in the most prestigious villa district, with all amenities, and is the",4500000,"Shorouk City, Cairo",190 Sq. M.,3,2
"A great deal on an apartment for sale at a commercial price, 89 square meters, next to the food court and bus stop B6",4300000,"Madinaty, Cairo",89 Sq. M.,2,2
Ground Floor Villa for Sale in Hadayek Al Ahram W Area | 150 sqm + 80 sqm Garden | Furnished | Private Entrance | Investment Opportunity,3200000,"Hadayek al-Ahram, Giza",150 Sq. M.,3,2
"The most luxurious locations at the Pyramids Gardens, an apartment for sale, 145 square meters, with a distinctive balcony facing the street, excellent loading, with an electric meter, the elevator is working, and the building is occupied, super deluxe, first floor.",2700000,"Hadayek al-Ahram, Giza",145 Sq. M.,3,2
"The most upscale locations at the Pyramids Gardens, an apartment for sale 102 square meters with a distinctive balcony, side view, with electricity meter, working elevator, and the building is habitable, super lux, first residence near Khair Zama.",1700000,"Hadayek al-Ahram, Giza",102 Sq. M.,2,1
"**Immediate delivery fully finished 3-bedroom apartment with the largest possible private garden in Mayan Compound, El Shorouk Gate 2. **",7865000,"Mayan, Shorouk City, Cairo",171 Sq. M.,3,3
"In a very special location in the Gardens of the Pyramids, a rear apartment with 2 rooms and 2 bathrooms, 100 meters on the third floor, ultra super lux finishing, third building from the street.",1670000,"Hadayek al-Ahram, Giza",100 Sq. M.,2,2
Twin House Villa for Sale in the New Administrative Capital | Direct View of the Green River | Delivery 2027 | Discount Available | Limited Units,25000000,"New Capital City, Cairo",277 Sq. M.,4,4
Standalone Villa First Row for Sale in New Marina City | Marina 8 by the Lake | Direct Lagoon View | Prime Location | Special Discount Available,27300000,"At North Coast, Sidi Abdel Rahman, North Coast, Matruh",353 Sq. M.,4,5
"Apartment for sale 200 sqm, North view, immediate delivery, old loading in Al-Masraweya Compound – Fifth Settlement, garden view overlooking the largest park in the compound. Live in one of the most upscale compounds in New Cairo.",7500000,"El Masrawia Compound, 1st Settlement, New Cairo, Cairo",200 Sq. M.,3,3
"Prime chalet first row, full finish + ACs + furniture, best North Coast price |\ Chalet for sale in north coast",2700000,"North Coast, Matruh",51 Sq. M.,1,1
"Apartment 101m (3 rooms) for sale at Address Home, Al Nawadi Street | 16 thousand per month for (2,600,000) | with 30% down payment and installments over 8 years | delivery in a year and a half, and construction is ongoing.",2600000,"Address Home 1, Hadayek October, Giza",101 Sq. M.,3,1
* Best Value! 125 sqm Fully Finished Apartment | Ashgar Darna Compound,3400000,"Ashgar Darna, Zahraa Al Maadi, Cairo",125 Sq. M.,2,1
Penthouse with a roof terrace in Taj City compound; offered in core-and-shell condition with a landscape view.,6400000,"Taj City Compound, 1st Settlement, New Cairo, Cairo",126 Sq. M.,2,2
Moon Valley Compound | Luxury Townhouse Duplex with Private Pool & Garden | 3 Bedrooms,23000000,"Moon Valley Compound, 5th Settlement, New Cairo, Cairo",400 Sq. M.,3,3
Lowest price twin house for sale semi-finished ready for immediate occupancy open view in La Terra Compound - New Cairo,23000000,"La Terra Compound, 5th Settlement, New Cairo, Cairo",388 Sq. M.,5,4
"A 130-meter chalet, a great deal, directly on the swimming pool in Marassi, is for sale for only 22.5 million in Marina Residence 2",22500000,"Marassi, Sidi Abdel Rahman, North Coast, Matruh",130 Sq. M.,2,2
Apartment ready to move - view villas at a special price in Sarai,4300000,"Sarai, Mostakbal City, Cairo",119 Sq. M.,2,2
Town House ready to move 280m for sale in Stone Park New Cairo,17500000,"Stone Park Compound, Katameya, Cairo",280 Sq. M.,4,4
Lowest price fully finished ultra-super-lux townhouse ready to move in immediately with a landscape view for sale in Diyar Park Compound,23000000,"Dyar Park, 1st Settlement, New Cairo, Cairo",260 Sq. M.,4,4
Prime Location on a Main Street Apartment for Sale in Wingat,2750000,"Mohamed Farid St., Bolkly, Alexandria",106 Sq. M.,2,1
Studio apartments for sale in Taj City Compound with a 54% discount,3394000,"Taj City Compound, 1st Settlement, New Cairo, Cairo",81 Sq. M.,,1
للبيع شاليه مميز بقرية الشروق – الساحل الشمالي,4000000,"Al Shorouk, North Coast, Matruh",190 Sq. M.,2,1
Fully finished chalet with immediate delivery and installment plans up to 10 years,5300000,"Latin District, Alamein, North Coast, Matruh",139 Sq. M.,2,2
"Best price apartment in Beit Al Watan, Fifth Settlement, 210 sq m, front-facing, sea view, prime location in the Third District, 25% down payment and",4746000,"Beit Al Watan, 5th Settlement, New Cairo, Cairo",210 Sq. M.,3,3
"An apartment 124M in the most prestigious compound in Sheraton, near Cairo International Airport.",6400000,"Rock Yard, Sheraton, Cairo",124 Sq. M.,2,2
Furnished 2BR Apartment | Open Sea View | Ready to Move | Fanadir Bay-Hurghada,6720000,"Al Ahyaa District, Hurghada, Red Sea",100 Sq. M.,2,1
"chalet for sale in Ras El Hekma, 2 bedrooms, at the lowest price on the market.",6400000,"Gaia, Ras Al Hekma, North Coast, Matruh",83 Sq. M.,2,1
"Fully finished apartment in New Cairo's Fifth Settlement, prime location, immediate delivery, at an unbeatable price that won't be repeated",7900000,"90 Avenue Compound, 5th Settlement, New Cairo, Cairo",120 Sq. M.,2,2
for sale Apartment 2BR with a down payment of 503K next to Hyde Park inst over 10Y in The Icon Fifth Settlement,3531000,"The Icon Residence Compound, 5th Settlement, New Cairo, Cairo",105 Sq. M.,2,1
A fully finished chalet by the sea in Ras Al Hikma next to Fouka Bay,9440000,"Ras Al Hekma, North Coast, Matruh",110 Sq. M.,2,2
"Chalet for sale at the lowest price: 5% down payment, 10-year installments. 2 bedrooms, 100 square meters, lagoon view in Ras El Hekma, North Coast!",9000000,"Lyv, Ras Al Hekma, North Coast, Matruh",100 Sq. M.,2,3
"Fully finished chalet with ACs for sale in Dose, Ras El Hekma (North Coast) Located next to La Vista Bay and Waterway",11600000,"Dose, North Coast, Matruh",119 Sq. M.,3,2
Villa ready to move rehab inside compund high community,15300000,"Creek Town Compound, 5th Settlement, New Cairo, Cairo",210 Sq. M.,5,4
"Fifth-floor apartment in a building by the sea for sale in Al-Ajmi, Al-Nakhil Beach, near the main street, Lux finishing.",980000,"Nakheel, Alexandria",100 Sq. M.,2,1
Last Prime First Row Golf 5BR Standalone – Over 8 Years installments,90700000,"City Gate Compound, 5th Settlement, New Cairo, Cairo",600 Sq. M.,5,6
"Twin house for sale in Mivida Emaar Misr, 7 million EGP less than its market price, fully finished - prime location and below market price",32500000,"Mivida Compound, 5th Settlement, New Cairo, Cairo",300 Sq. M.,4,4
For Sale – Prime Apartment in North Rehab | Strategic Location,5625000,"North Rehab, 1st Settlement, New Cairo, Cairo",155 Sq. M.,3,3
Dollar Investment Opportunity | Studio for Sale with Pyramids & Grand Egyptian Museum View | Only EGP 855K Down Payment,3420000,"6th of October, Giza",57 Sq. M.,,1
"Chalet for sale, fully finished, one room, with a 5% down payment, 10-year installments, EGP 300,000 down payment, EGP 150,000 installments every 3 mo",6000000,"SOLARE, Ras Al Hekma, North Coast, Matruh",75 Sq. M.,1,2
"Senior chalet at the lowest price in the market, fully furnished, ready to move in Hacienda Bay, Sidi Abdel Rahman.",18000000,"Hacienda Bay, Sidi Abdel Rahman, North Coast, Matruh",220 Sq. M.,4,4
"A 130-meter chalet, a great deal, directly on the swimming pool in Marassi, is for sale for only 22.5 million in Marina Residence 2",22500000,"Marassi, Sidi Abdel Rahman, North Coast, Matruh",130 Sq. M.,2,2
Ready-to-Move Apartments for Sale at Downtown Alamein - 160 sqm,4900000,"Downtown Marina, Alamein, North Coast, Matruh",159 Sq. M.,2,2
Launch Price Own Luxury Fully Finished 2BR Chalet In With Panoramic Sea View In New Gouna 0%DP Over 8Y,11000000,"Makadi Heights, Hurghada, Red Sea",135 Sq. M.,2,3
"**77 sqm Apartment for Sale | Best Phase | Prime Location | Installments | O West Compound, 6th of October City",7305000,"O West Compound, 6th of October, Giza",77 Sq. M.,1,1
شقة للبيع الحى الثامن فيلات,5000000,"8th District, Shorouk City, Cairo",230 Sq. M.,3,2
Ready To Move Apartment In Sodic With 0% Downpayment Only For The First Time! Sodic East Town - Vilette - Sodic Villete,18500000,"Villette Compound, 5th Settlement, New Cairo, Cairo",190 Sq. M.,3,3
Apartment for Sale in Youth Housing – El Shorouk City | Prime Location,1200000,"Shorouk City, Cairo",82 Sq. M.,3,1
For Sale Chalet With Lagoon & Golf View Fully Finished Prime Location 5% Down Payment in Mesca Red Sea - Soma Bay.,15000000,"Mesca, Soma Bay, Red Sea",150 Sq. M.,3,3
"For Sale Lagoon Senior Chalet in The Med Fully Finished Directly on Widest Lagoon, Near Delivery.",15600000,"The Med, Ras Al Hekma, North Coast, Matruh",170 Sq. M.,3,3
Sea View Penthouse And Fully Finished In Mangroovy Red Sea With Installment 5 Years.,25000000,"Mangroovy, Gouna, Red Sea",175 Sq. M.,3,2
LIMITED OFFER!! FULLY FINISHED SEA VIEW CHALET FOR SALE WITH LOWEST PRICE IN RAS ELHEKMA .,14200000,"The Med, Ras Al Hekma, North Coast, Matruh",152 Sq. M.,2,2
EXCLUSIVE NEAR DELIVERY UNITS 10% DP ONLY_7YEARS!! APT FOR SALE IN DISTRICT 5-MARAZEZ-5TH SETTLEMENT -NEW CAIRO -90 STREET -AUC-SUEZ ROAD,17300000,"District 5 Compound, 5th Settlement, New Cairo, Cairo",200 Sq. M.,3,3
Chalet For Sale With Lowest And First Price In Silver Sands With Ora 5% Down payment and rest Installments over 8 years,7000000,"Silver Sands, North Coast, Matruh",60 Sq. M.,1,1
chalet ground floor fully finished 3 bed in la vista bay North Coast,27800000,"La Vista Bay East, North Coast, Matruh",150 Sq. M.,3,3
Fully Finished Townhouse corner for resale at Belle Vie under market price delivery 2027,13000000,"Belle Vie Compound, Sheikh Zayed, Giza",204 Sq. M.,3,3
Studio for Sale in Noor City – Ground Floor with Garden – on 13-Year Installments,3580000,"Noor City, New Capital City, Cairo",63 Sq. M.,,1
Limited Time Offer Own Finished 1st Row 2BR Chalet Panoramic Sea+Lagoon View In Somabay With Only 5%DP,13000000,"Soma Bay, Red Sea",135 Sq. M.,2,3
Unique Sky Villa with Private Pool on the Roof & First Row Lagoon for Sale at The Med Ras El Hekma,14000000,"The Med, Ras Al Hekma, North Coast, Matruh",280 Sq. M.,4,4
Townhouse for Sale at Almaza Bay Ras Soma | Direct Lagoon View | 300m from the Sandy Beach,25500000,"Ras Soma, Red Sea",148 Sq. M.,3,4
Apartment for Resale – Ready to Move in at ZED West Towers (G+10) – Sheikh Zayed,9537275,"ZED West Compound, Sheikh Zayed, Giza",133 Sq. M.,3,2
"LAST FIRST ROW VILLA 4BED WITH POOL IN REDSEA, 0% DOWN PAYMENT , ORASCOM",33600000,"Gouna, Red Sea",300 Sq. M.,4,5
Ready to Move Townhouse in Direction White | Garden Included Premium Townhouse in Direction White | Immediate Delivery,25500000,"Direction White, Ras Al Hekma, North Coast, Matruh",180 Sq. M.,3,3
Apartment for Sale in Zayed Heights Compound | 237 SQM | Ready to Move | Prime Location,7000000,"Zayed Heights, Sheikh Zayed, Giza",237 Sq. M.,4,3
apartment fully finished 10% DP over 7Y in New Cairo,23100000,"EL Patio ORO Compound, 5th Settlement, New Cairo, Cairo",219 Sq. M.,3,3
Resale Duplex At Zed east With Garden at 5th settlement With old price,17924000,"Zed East Compound, 6th Settlement, New Cairo, Cairo",248 Sq. M.,4,4
