title,price,location,area,property_type,bedrooms,bathrooms
Resale Cheapest 155 sqm Chalet | 3BD | Azha Sokhna,10500000,"Azha, Al Ain Al Sokhna, Suez",155,Chalet,3,4
شقه للبيع في سيدي جابر شارع المشير رأساً فيو مفتوح,7000000,"Al Mosheer Ahmed Ismail St., Sidi Gaber, Hay Sharq, Alexandria",205,Apartment,3,2
Prime 2BR Resort Apartment | High ROI Deal Now!,3700000,"Hurghada Hub, Intercontinental District, Hurghada, Red Sea",87,Apartment,2,1
Sea View Chalet Furnished Prime ROI Opportunity,6000000,"Scandic Resort, Hurghada Resorts, Hurghada, Red Sea",60,Chalet,studio,1
Lagoon View Chalet for sale in Azha Ain Sokhna,9229000,"Azha, Al Ain Al Sokhna, Suez",116,Chalet,2,3
Twin house prime location for sale in Azha,16500000,"Azha, Al Ain Al Sokhna, Suez",280,Twin House,3,3
Resale chalet for sale in Azha ain sokhna,8587900,"Azha, Al Ain Al Sokhna, Suez",100,Chalet,2,2
Ground Floor Apartment for Sale in Kayan Phase 2,4780000,"Kayan, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",95,Apartment,2,2
Apartment for Sale Shalia Taj City,9200000,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",148,Apartment,3,3
Townhouse with Garden and Roof in Sarai New Cairo,8750000,"S1, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",175,Townhouse,3,3
OWN CHALET 2BR DP 0% INST 10Y NEXT TO FOUKA BAY,7500000,"LYV, Ras Al Hekma, North Coast",85,Chalet,1,1
Apartment for sale in Fifth Settlement,3120000,"The Icon Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",105,Apartment,2,1
Chalet for Sale in LYV North Coast Village No db,6825000,"LYV, Ras Al Hekma, North Coast",85,Chalet,2,1
Own your APT in Sarai and pay in inst upon deliver,4160000,"Esse Residence, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",112,Apartment,2,1
apt prime loc next to mivida 40%disc in tagamo 5,4100000,"The Icon Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",158,Apartment,3,2
3 bedroom with garden apartment |O west,10000000,"O West, 6 October Compounds, 6 October City, Giza",175,Apartment,3,3
villa 382m-6bed- best view in palm hills low price,20000000,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",382,Villa,6,6
villa 334m- 5bed-amazing view palm hills low price,22500000,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",334,Villa,5,5
Prime Location in Lagoon Park - Exceptional Price,5750000,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",125,Apartment,2,2
twin house villa 520-6bed-under market price saada,32000000,"Saada Compound, New Cairo City, Cairo",520,Villa,6,6
villa corner 3bed-best view- saada easy low price,23800000,"Saada Compound, New Cairo City, Cairo",351,Villa,3,3
zero over! standalone 776m-8bed amazing view saada,69151000,"Saada Compound, New Cairo City, Cairo",776,Villa,7+,7+
Exclusive offer villa 350m-4bed-view lagoon- saada,22000000,"Saada Compound, New Cairo City, Cairo",350,Villa,4,4
villa 337m-3bed-amazing location best price- saada,25770000,"Saada Compound, New Cairo City, Cairo",337,Villa,4,4
Smart Investment!own standalone 379m-6bed in saada,32500000,"Saada Compound, New Cairo City, Cairo",379,Villa,3,3
Apart182m FullyFinished ReadytoMove on Installment,3000000,"O West, 6 October Compounds, 6 October City, Giza",182,Apartment,3,3
Standalone Chalet + Garden 250m - Furnished + ACs,15200000,"Fouka Bay, Qesm Marsa Matrouh, North Coast",190,Chalet,3,4
villa in Patio town new cairo american university,7400000,"El Patio Town, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",215,Villa,3,4
Resale Garden WaterChalet -Direct Lagoon-Hot Price,14000000,"Silver Sands, Qesm Marsa Matrouh, North Coast",193,Chalet,3,3
Apartment resale in one kattameya fully Finished,3650000,"One Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",105,Apartment,2,1
lowest price 2 bed in up town cairo,11400000,"Aurora, Uptown Cairo, Mokattam, Cairo",144,Apartment,2,2
Opportunity Lowest 3 Bedrooms Ba7ry best Layout,7500000,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",146,Apartment,3,3
Opportunity APT 150m Delivery 1 Year Lowest Price,6900000,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",150,Apartment,3,3
First row lagoon upper senior chalet Furnished,14500000,"Hacienda Bay, Sidi Abdel Rahman, North Coast",340,Chalet,4,4
lowest price for twin villa bahary direct lagoon,40000000,"Marassi, Sidi Abdel Rahman, North Coast",380,Twin House,5,5
First Row Golf lowest Price Semi Finished 1700m,120000000,"Katameya Dunes, El Katameya Compounds, El Katameya, New Cairo City, Cairo",1703,Palace,6,7
Apartment Large Garden Prime Location Lowest Price,7450000,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",120,Apartment,2,2
"Ground Chalet Fully Finished Direct On Lagoon,Sea",13000000,"Fouka Bay, Qesm Marsa Matrouh, North Coast",190,Chalet,3,2
Villa resale 4bed direct lagoon in Marassi Emaar,32000000,"Marassi, Sidi Abdel Rahman, North Coast",250,Villa,4,4
Sea Front Villa Clear sea view in Marassi Bay,190000000,"Marassi, Sidi Abdel Rahman, North Coast",1100,Villa,7+,7+
"Fully Finished, Ready to move | EGP 24,000 Monthly",8865300,"Zahra, Sidi Abdel Rahman, North Coast",87,Chalet,3,2
Chalet 92m fully finished in Marassi - Emaar,15000000,"Marassi, Sidi Abdel Rahman, North Coast",92,Chalet,2,2
Town under market price at sarai mostakbal city,24000000,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",220,Townhouse,4,4
Apartment ready tomove fullyfinished primelocation,8000000,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",150,Apartment,2,3
RARE SEA VIEW DEAL PRIME LOCATION | GREEN CONTRACT,5200000,"Arabia Area, Hurghada, Red Sea",100,Apartment,2,1
Spacious 3BR Red Brick Apartment in Al-Ahyaa Area,2200000,"Al Ahyaa District, Hurghada, Red Sea",110,Apartment,3,1
Luxury Semi-Finished Villa for Sale in PK1,65000000,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",700,Villa,6,7+
Apartment fully furnished prime location,11000000,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",160,Apartment,3,3
2Bed Chalet+Garden Direct Sea View delivered,13900000,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea",114,Chalet,2,2
Hot Deal: June Sodic Finished 180m Chalet +Garden,12000000,"June, Ras Al Hekma, North Coast",180,Chalet,3,3
"With 5-year payment plans, a 163 sqm apartment is",10841614,"Village West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",163,Apartment,3,3
3 Bedrooms - Facing North- With installment-Resale,6900000,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",150,Apartment,3,3
lowest price ready to move 164m bahery double view,5200000,"S1, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",164,Apartment,3,3
Prime Ready Home With  A Competitive Price,7500000,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",134,Apartment,2,2
"Apartment 1B Direct Lagoon D.P 3,670,000",11223924,"Hacienda Waters, Qesm Ad Dabaah, North Coast",75,Apartment,1,2
townhouse sea view14 million 10years installments,14000000,"Long Beach, Al Alamein, North Coast",200,Townhouse,5,4
Ground Apartment Ready To Move Over 10 Years Plan,12009890,"Vye Sodic, New Zayed City, Sheikh Zayed City, Giza",120,Apartment,2,2
lowest price 3bed bahary double view,6500000,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",155,Apartment,3,3
I-Villa Roof  ready to move fully finished ac's,15000000,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",234,iVilla,3,3
"97m Apt for Sale– Capital East Residence,Nasr City",2600000,"Capital East, Nasr City Compounds, Nasr City, Cairo",97,Apartment,2,2
Prime location Apt Ready for Delivery 146 for sale,7000000,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",146,Apartment,3,3
3BR Resale | Old Contract | Negotiable,8100000,"Village West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",149,Apartment,3,3
Finished apartment+garden Ready to move in Zayed,3950000,"Kayan, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",130,Apartment,3,2
"Duplex for sale with roof view, VIP and prime loca",999000,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",71,Apartment,4,3
apartement 225m ready to move second floor Bahary,7870000,"Promenade New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",225,Apartment,4,3
Apartment 140m lowest price in Sheikh Zayed/10yrs,4100000,"Zayed Dunes, 6th District, Sheikh Zayed City, Giza",140,Apartment,3,3
Immediate Delivery Lowest DP Corner chalet,5500000,"Q North, Sidi Abdel Rahman, North Coast",90,Chalet,2,1
"Ready apartment 170 m at lowest price, installment",4600000,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",170,Apartment,3,3
Town House Under market price Landscape view,18300000,"Mountain View 1.1, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",210,Townhouse,3,4
Resale Marina Chalet DP + Installments Direct Pool,21000000,"Marassi, Sidi Abdel Rahman, North Coast",136,Chalet,2,2
Ready to move 2Bed apartment by Sodic over 10 year,4100000,"Vye Sodic, New Zayed City, Sheikh Zayed City, Giza",108,Apartment,2,2
Resale Under Market Price Fully Finished 4 Bed,12300000,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",255,Chalet,4,5
Ready to move garden apartment near Sheikh Zayed,4500000,"Kayan, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",125,Apartment,3,2
Finished Apartment 3BR+Nanny-DP=641K-42K Monthly,778889,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",55,Apartment,3,3
Ready to move Town House by Hyde Park Ras El Hekma,6800000,"Seashore, Ras Al Hekma, North Coast",168,Townhouse,3,3
DELIVER NOW CHALET185m+ROOF150m BY LAVISTA MARASSI,6900000,"La Vista Cascada, Al Alamein, North Coast",185,Penthouse,4,4
Ready to move garden chalet next to South Med,4500000,"La Vista Bay, La Vista, Qesm Ad Dabaah, North Coast",150,Chalet,3,2
Deliver sea view garden chalet for sale by Lavista,8800000,"La vista Ras El Hikma, Ras Al Hekma, North Coast",110,Chalet,2,2
ReadytoMove Apart205m+40m Roof on inst Lagoon View,1750000,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",71,Apartment,4,4
Penthouse 3 bedrooms fully finished + Air cond.,10900000,"Villa Square, Fifth Square, The 5th Settlement, New Cairo City, Cairo",170,Penthouse,3,3
Deliver finished chalet for sale near Ghazala Bay,4000000,"Zoya, Sidi Abdel Rahman, North Coast",120,Chalet,2,2
Ready To Move Garden Apartment With Installments,5800000,"Garden Residence, Hyde Park, New Cairo City, Cairo",123,Apartment,2,2
"Resale APT 123m F.f with Ac’s ,RTM in Village West",7000000,"Village West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",123,Apartment,2,2
"3BR apartment, immediate delivery, prime Sun Capit",2500000,"Sun Capital, Fayoum Desert road, 6 October City, Giza",120,Apartment,3,3
Immediate Apartment | Pyramids View 500K half year,500000,"Sun Capital, Fayoum Desert road, 6 October City, Giza",55,Apartment,3,3
Finished 4BR Villa with ZERO% DP over 12 years !,16000000,"Esse Residence, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",247,Villa,4,5
Villa 565m FullyFnish Ready to Move on Installment,9090000,"Six West, Beverly Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",565,Villa,6,5
UAE cities launch fully finished chalets sea view,11000000,"Modon Abu Dhabi, Ras Al Hekma, North Coast",155,Chalet,2,3
Receive now 65m fully finished near from sea 10 Y,8500000,"Naia bay, Ras Al Hekma, North Coast",65,Chalet,1,1
Under Market Price | Direct Canal View Chalet |2BR,20500000,"Marassi, Sidi Abdel Rahman, North Coast",139,Chalet,2,2
92m fully finished Bahary open view special price,7545000,"Cali Coast, Ras Al Hekma, North Coast",92,Chalet,2,2
Chalet At Lowest Price sea view Fully Furnished,3080000,"Bella Romance, Romance, Al Ain Al Sokhna, Suez",80,Chalet,2,1
Chalet 50m Sea View in North Coast Over 8 Years,3350000,"Celebration West Beach, Ras Al Hekma, North Coast",50,Chalet,2,2
Apartment 2BR for resale under market price MV,6800000,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",134,Apartment,2,2
Super luxe apartment with furniture and kitchen,9000000,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",175,Apartment,3,3
Flexi Finished Apartment for resale Lowest Price,5800000,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",133,Apartment,2,2
For resale amazing apartment 3BR - MV Hyde Park,9250000,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",168,Apartment,3,3
Apartment Prime Location in New Capital Over10Year,6273000,"Floria 5, New Capital City, Cairo",181,Apartment,3,3
Fully Finished Apartment in Mivida Compound,18000000,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",200,Apartment,3,3
ِApartment Finished AT Low Price in Mostakbal 5%Dp,4896000,"Rosail City, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",140,Apartment,3,3
80m fully finished DEL 2026 in INST till 2030,6230000,"Koun, Ras Al Hekma, North Coast",80,Chalet,2,1
Booking last villa sale opposite Cairo Airport now,3900000,"Shalya Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",195,Villa,4,4
Finished apartment+parking RTM for resale + INST,6500000,"The Address East, 90 Street, The 5th Settlement, New Cairo City, Cairo",167,Apartment,3,2
Luxury apartment for resale in Lake View Residence,13000000,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",144,Apartment,2,2
For Sale Penthouse Full Sea View in Amwaj,10500000,"Amwaj, Sidi Abdel Rahman, North Coast",140,Chalet,3,3
Finished villa next to Sodic for only 6.5M,6500000,"Talala, New Heliopolis Compounds, New Heliopolis, Cairo",170,Villa,3,3
lowest offer price!! - villa 401m -6bed -in badya,12926000,"Badya Palm Hills, 6 October Compounds, 6 October City, Giza",401,Villa,6,4
Facing North Ready To Move Prime Location APT,8300000,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",171,Apartment,2,3
Town 230m DEL within 6 months special view in INST,12500000,"Lake West 2, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",230,Townhouse,3,3
With 250K EOI Or 25% DIS own finished chalet-June,13800000,"June, Ras Al Hekma, North Coast",110,Chalet,3,3
Apartment for sale  delivery 2026 INST up to 8Y,6350000,"Ivy Residence, El Shorouk Compounds, Shorouk City, Cairo",129,Apartment,2,2
Resale 285m on land 403m lagoon view RTM INST 4yrs,16950000,"Lake West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",285,Villa,4,4
"With installments 10Y own finished chalet, Remal",8000000,"Remal, Ras Al Hekma, North Coast",75,Chalet,2,1
Prime 269m twin house in Zayed ready Now easy plan,8000000,"Al  Rabwa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",269,Villa,4,4
Resale 139m + garden 53m fully finished INST 2030,12591000,"The Estates, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",139,Apartment,2,2
Finished resale townhouse with ACS at lowest price,12000000,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",160,Townhouse,3,4
Resale 120m open view and ready to move INST 2030,8400000,"Vye Sodic, New Zayed City, Sheikh Zayed City, Giza",120,Apartment,2,2
Villa 238m for sale by Sodic in Zayed over 10 year,5000000,"Vye Sodic, New Zayed City, Sheikh Zayed City, Giza",238,Villa,4,4
Furnished Prime Chalet with Sea view La Vista bay,15000000,"La Vista Bay, La Vista, Qesm Ad Dabaah, North Coast",120,Chalet,3,3
Invest in Hurghada from 15% Down/ private beach,2247000,"Al Ahyaa District, Hurghada, Red Sea",60,Apartment,1,1
Unit 169m fully finished with 30% DIS and in INST,5383000,"Green Revolution, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",169,Apartment,3,3
Prime Townhouse with attractive price MountainView,12500000,"Mountain View, Ras Al Hekma, North Coast",145,Townhouse,3,3
